iter	Passed	Remaining
437	1338	1717
438	1340	1713
439	1342	1708
440	1343	1703
441	1345	1698
442	1349	1696
443	1350	1691
444	1352	1687
445	1354	1682
446	1355	1677
447	1357	1672
448	1358	1667
449	1360	1663
450	1362	1658
451	1364	1654
452	1366	1649
453	1367	1644
454	1369	1640
455	1371	1635
456	1372	1630
457	1373	1625
458	1375	1621
459	1376	1616
460	1378	1612
461	1380	1607
462	1382	1602
463	1383	1598
464	1386	1594
465	1388	1591
466	1390	1586
467	1392	1582
468	1394	1578
469	1396	1574
470	1398	1570
471	1401	1567
472	1402	1562
473	1404	1558
474	1406	1554
475	1408	1550
476	1410	1546
477	1412	1542
478	1415	1539
479	1417	1535
480	1419	1531
481	1421	1527
482	1422	1522
483	1424	1518
484	1426	1514
485	1427	1510
486	1429	1505
487	1431	1501
488	1432	1497
489	1434	1493
490	1436	1488
491	1437	1484
492	1441	1482
493	1443	1478
494	1445	1475
495	1447	1470
496	1449	1466
497	1450	1462
498	1452	1458
499	1454	1454
500	1456	1451
501	1458	1447
502	1460	1442
503	1461	1438
504	1463	1434
505	1465	1430
506	1466	1426
507	1468	1422
508	1469	1417
509	1471	1413
510	1472	1409
511	1474	1405
512	1475	1401
513	1477	1396
514	1479	1392
515	1482	1390
516	1483	1386
517	1485	1382
518	1487	1378
519	1488	1374
520	1490	1370
521	1492	1366
522	1494	1362
523	1496	1359
524	1498	1355
525	1500	1351
526	1501	1347
527	1503	1343
528	1505	1340
529	1506	1336
530	1508	1332
531	1509	1328
532	1511	1324
533	1513	1320
534	1514	1316
535	1516	1312
536	1518	1309
537	1521	1306
538	1523	1303
539	1525	1299
540	1526	1295
541	1528	1291
542	1529	1287
543	1531	1283
544	1533	1280
545	1536	1277
546	1538	1274
547	1540	1270
548	1542	1266
549	1543	1263
550	1545	1259
551	1546	1255
552	1548	1251
553	1549	1247
554	1551	1243
555	1552	1239
556	1553	1235
557	1555	1231
558	1556	1227
559	1558	1224
560	1560	1221
561	1562	1217
562	1563	1213
563	1565	1210
564	1566	1206
565	1567	1202
566	1569	1198
567	1570	1194
568	1572	1190
569	1573	1187
570	1575	1183
571	1576	1179
572	1578	1176
573	1579	1172
574	1581	1168
575	1582	1165
576	1584	1161
577	1585	1157
578	1587	1154
579	1588	1150
580	1590	1146
581	1591	1143
582	1593	1139
583	1594	1136
584	1596	1132
585	1597	1128
586	1600	1125
587	1601	1122
588	1603	1118
589	1605	1115
590	1606	1111
591	1608	1108
592	1609	1104
593	1610	1101
594	1612	1097
595	1615	1094
596	1616	1091
597	1618	1087
598	1619	1084
599	1620	1080
600	1621	1076
601	1623	1073
602	1624	1069
603	1626	1066
604	1627	1062
605	1629	1059
606	1631	1056
607	1632	1052
608	1634	1049
609	1635	1045
610	1636	1042
611	1638	1038
612	1640	1035
613	1642	1032
614	1643	1029
615	1645	1025
616	1646	1022
617	1647	1018
618	1649	1015
619	1650	1011
620	1651	1008
621	1653	1004
622	1655	1001
623	1657	998
624	1658	995
625	1660	991
626	1661	988
627	1662	985
628	1664	981
629	1665	978
630	1667	975
631	1669	971
632	1670	968
633	1672	965
634	1673	961
635	1674	958
636	1676	955
637	1677	952
638	1679	948
639	1680	945
640	1682	942
641	1683	938
642	1684	935
643	1686	932
644	1687	928
645	1688	925
646	1690	922
647	1691	918
648	1693	915
649	1696	913
650	1697	910
651	1699	906
652	1700	903
653	1701	900
654	1703	897
655	1704	893
656	1705	890
657	1707	887
658	1708	884
659	1710	881
660	1711	877
661	1713	874
662	1714	871
663	1716	868
664	1717	865
665	1718	861
666	1720	858
667	1722	855
668	1724	853
669	1726	850
670	1728	847
671	1729	844
672	1731	841
673	1732	837
674	1734	834
675	1736	832
676	1738	829
677	1739	826
678	1740	822
679	1741	819
680	1743	816
681	1744	813
682	1745	810
683	1747	807
684	1749	804
685	1751	801
686	1752	798
687	1754	795
688	1755	792
689	1757	789
690	1759	786
691	1760	783
692	1763	781
693	1765	778
694	1767	775
695	1768	772
696	1770	769
697	1772	766
698	1773	763
699	1775	760
700	1777	758
701	1779	755
702	1780	752
703	1782	749
704	1783	746
705	1784	743
706	1786	740
707	1787	737
708	1790	734
709	1791	731
710	1793	728
711	1794	725
712	1795	722
713	1796	719
714	1798	716
715	1799	713
716	1800	710
717	1803	708
718	1804	705
719	1806	702
720	1808	699
721	1809	696
722	1810	693
723	1812	690
724	1813	687
725	1815	685
726	1816	682
727	1818	679
728	1819	676
729	1820	673
730	1822	670
731	1823	667
732	1824	664
733	1825	661
734	1827	658
735	1828	656
736	1831	653
737	1832	650
738	1834	647
739	1835	644
740	1836	641
741	1838	639
742	1839	636
743	1840	633
744	1843	630
745	1844	628
746	1846	625
747	1847	622
748	1849	619
749	1850	616
750	1851	614
751	1853	611
752	1854	608
753	1856	605
754	1858	603
755	1859	600
756	1861	597
757	1862	594
758	1864	591
759	1865	589
760	1867	586
761	1869	583
762	1871	581
763	1872	578
764	1874	575
765	1875	572
766	1876	570
767	1877	567
768	1879	564
769	1880	561
770	1882	559
771	1883	556
772	1885	553
773	1887	551
774	1888	548
775	1890	545
776	1891	542
777	1892	540
778	1893	537
779	1895	534
780	1897	531
781	1898	529
782	1899	526
783	1901	523
784	1902	521
785	1904	518
786	1905	515
787	1907	513
788	1909	510
789	1911	508
790	1913	505
791	1914	502
792	1916	500
793	1917	497
794	1919	494
795	1920	492
796	1922	489
797	1924	487
798	1926	484
799	1927	481
800	1929	479
801	1930	476
802	1932	474
803	1933	471
804	1935	468
805	1938	466
806	1940	464
807	1941	461
808	1943	458
809	1944	456
810	1945	453
811	1947	450
812	1949	448
813	1951	446
814	1953	443
815	1955	440
816	1956	438
817	1958	435
818	1960	433
819	1962	430
820	1964	428
821	1965	425
822	1967	423
823	1969	420
824	1970	417
825	1971	415
826	1973	412
827	1975	410
828	1977	407
829	1979	405
830	1981	402
831	1982	400
